booking_id,booking_date,check_in_date,channel_id,Channel Name,rate_code_id,gross_room_revenue,Commission Rate,commission_amount,net_room_revenue,status
BK_00001,2024-11-23 0:00,2024-12-01 0:00,CH_01,Booking.com,RT_PROMO,2747.05,0.15,412.06,2334.99,Confirmed
BK_00002,2024-03-12 0:00,2024-04-29 0:00,CH_01,Booking.com,RT_RACK,5322.38,0.15,798.36,4524.02,Checked-Out
BK_00003,2024-01-17 0:00,2024-01-19 0:00,CH_01,Booking.com,RT_PROMO,3097.35,0.15,464.6,2632.75,Confirmed
BK_00004,2024-11-04 0:00,2024-11-06 0:00,CH_01,Booking.com,RT_PROMO,14833.43,0.15,2225.01,12608.42,Checked-Out
BK_00005,2024-12-25 0:00,2025-01-29 0:00,CH_01,Booking.com,RT_PROMO,10131.59,0.15,1519.74,8611.85,Checked-Out
BK_00006,2024-05-22 0:00,2024-07-13 0:00,CH_01,Booking.com,RT_PROMO,2532.87,0.15,379.93,2152.94,Checked-Out
BK_00007,2024-06-23 0:00,2024-07-11 0:00,CH_01,Booking.com,RT_PROMO,4873.84,0.15,731.08,4142.76,Checked-Out
BK_00008,2024-06-21 0:00,2024-06-28 0:00,CH_01,Booking.com,RT_CORP,4382.01,0.15,657.3,3724.71,Cancelled
BK_00009,2024-06-25 0:00,2024-08-03 0:00,CH_01,Booking.com,RT_RACK,14315.27,0.15,2147.29,12167.98,Checked-Out
BK_00010,2024-10-01 0:00,2024-10-09 0:00,CH_01,Booking.com,RT_RACK,19760.86,0.15,2964.13,16796.73,Checked-Out
BK_00011,2024-11-17 0:00,2024-12-27 0:00,CH_01,Booking.com,RT_PROMO,7200.52,0.15,1080.08,6120.44,Checked-Out
BK_00012,2024-01-24 0:00,2024-03-07 0:00,CH_01,Booking.com,RT_PROMO,6661.02,0.15,999.15,5661.87,Checked-Out
BK_00013,2024-04-29 0:00,2024-06-24 0:00,CH_01,Booking.com,RT_CORP,4337.15,0.15,650.57,3686.58,Confirmed
BK_00014,2024-11-21 0:00,2025-01-14 0:00,CH_01,Booking.com,RT_PROMO,7764.28,0.15,1164.64,6599.64,Confirmed
BK_00015,2024-04-17 0:00,2024-05-30 0:00,CH_01,Booking.com,RT_RACK,12334.12,0.15,1850.12,10484.0,Checked-Out
BK_00016,2024-03-28 0:00,2024-05-02 0:00,CH_01,Booking.com,RT_PROMO,5119.47,0.15,767.92,4351.55,Checked-Out
BK_00017,2024-05-18 0:00,2024-07-17 0:00,CH_01,Booking.com,RT_PROMO,13390.79,0.15,2008.62,11382.17,Checked-Out
BK_00018,2024-01-29 0:00,2024-02-13 0:00,CH_01,Booking.com,RT_PROMO,2894.26,0.15,434.14,2460.12,Confirmed
BK_00019,2024-02-03 0:00,2024-02-17 0:00,CH_01,Booking.com,RT_PROMO,14016.53,0.15,2102.48,11914.05,Cancelled
BK_00020,2024-09-12 0:00,2024-10-08 0:00,CH_01,Booking.com,RT_PROMO,10661.62,0.15,1599.24,9062.38,Confirmed
BK_00021,2024-05-06 0:00,2024-06-23 0:00,CH_01,Booking.com,RT_PROMO,14898.08,0.15,2234.71,12663.37,Checked-Out
BK_00022,2024-08-07 0:00,2024-10-04 0:00,CH_01,Booking.com,RT_CORP,17077.63,0.15,2561.64,14515.99,Checked-Out
BK_00023,2024-03-11 0:00,2024-04-13 0:00,CH_01,Booking.com,RT_RACK,17140.51,0.15,2571.08,14569.43,Checked-Out
BK_00024,2024-02-26 0:00,2024-03-07 0:00,CH_01,Booking.com,RT_CORP,7434.52,0.15,1115.18,6319.34,Checked-Out
BK_00025,2024-07-16 0:00,2024-08-10 0:00,CH_01,Booking.com,RT_CORP,19182.87,0.15,2877.43,16305.44,Checked-Out
BK_00026,2024-10-10 0:00,2024-12-05 0:00,CH_01,Booking.com,RT_RACK,5061.65,0.15,759.25,4302.4,Checked-Out
BK_00027,2024-10-01 0:00,2024-11-19 0:00,CH_01,Booking.com,RT_PROMO,7727.04,0.15,1159.06,6567.98,Cancelled
BK_00028,2024-08-10 0:00,2024-08-21 0:00,CH_01,Booking.com,RT_RACK,18539.68,0.15,2780.95,15758.73,Checked-Out
BK_00029,2024-05-14 0:00,2024-06-16 0:00,CH_01,Booking.com,RT_RACK,9516.11,0.15,1427.42,8088.69,Checked-Out
BK_00030,2024-06-01 0:00,2024-07-25 0:00,CH_01,Booking.com,RT_PROMO,12127.61,0.15,1819.14,10308.47,Cancelled
BK_00031,2024-03-23 0:00,2024-04-27 0:00,CH_01,Booking.com,RT_RACK,23909.42,0.15,3586.41,20323.01,Checked-Out
BK_00032,2024-09-07 0:00,2024-09-09 0:00,CH_01,Booking.com,RT_PROMO,2547.11,0.15,382.07,2165.04,Checked-Out
BK_00033,2024-06-06 0:00,2024-06-22 0:00,CH_01,Booking.com,RT_PROMO,2443.75,0.15,366.56,2077.19,Checked-Out
BK_00034,2024-02-10 0:00,2024-02-16 0:00,CH_01,Booking.com,RT_RACK,21277.98,0.15,3191.7,18086.28,Checked-Out
BK_00035,2024-09-29 0:00,2024-11-18 0:00,CH_01,Booking.com,RT_PROMO,6652.64,0.15,997.9,5654.74,Checked-Out
