booking_id,booking_date,check_in_date,channel_id,rate_code_id,gross_room_revenue,commission_amount,net_room_revenue,status
RES-01830,2024-11-10,2025-01-06,CH_05,RT_CORP,1746.0,139.68,1606.32,Checked-Out
RES-01468,2024-11-13,2025-01-09,CH_05,RT_CORP,9360.0,748.8,8611.2,Checked-Out
RES-01471,2024-11-13,2025-01-12,CH_03,RT_ADV,4680.0,936.0,3744.0,Checked-Out
RES-02558,2024-11-15,2025-01-04,CH_02,RT_ADV,9360.0,1684.8,7675.2,Checked-Out
RES-03652,2024-11-15,2025-01-03,CH_02,RT_ADV,7020.0,1263.6,5756.4,Checked-Out
RES-04382,2024-11-15,2025-01-03,CH_03,RT_ADV,7650.0,1530.0,6120.0,Checked-Out
RES-04747,2024-11-15,2025-01-03,CH_02,RT_ADV,7020.0,1263.6,5756.4,Checked-Out
RES-01463,2024-11-16,2025-01-04,CH_02,RT_ADV,9360.0,1684.8,7675.2,Checked-Out
RES-02560,2024-11-16,2025-01-06,CH_02,RT_ADV,2340.0,421.2,1918.8,Checked-Out
RES-04745,2024-11-16,2025-01-01,CH_05,RT_CORP,2340.0,187.2,2152.8,Checked-Out
RES-03285,2024-11-17,2025-01-01,CH_03,RT_ADV,2550.0,510.0,2040.0,Checked-Out
RES-03654,2024-11-18,2025-01-05,CH_02,RT_ADV,11700.0,2106.0,9594.0,Checked-Out
RES-00734,2024-11-20,2025-01-05,CH_01,RT_ADV,8730.0,0.0,8730.0,Checked-Out
RES-04024,2024-11-20,2025-01-10,CH_05,RT_CORP,8730.0,698.4,8031.6,Checked-Out
RES-00743,2024-11-21,2025-01-14,CH_02,RT_ADV,6480.0,1166.4,5313.6,Checked-Out
RES-02559,2024-11-21,2025-01-05,CH_05,RT_CORP,11700.0,936.0,10764.0,Checked-Out
RES-00369,2024-11-22,2025-01-05,CH_02,RT_ADV,11700.0,2106.0,9594.0,Checked-Out
RES-03656,2024-11-22,2025-01-07,CH_02,RT_ADV,4680.0,842.4,3837.6,Checked-Out
RES-04021,2024-11-22,2025-01-07,CH_05,RT_CORP,3492.0,279.36,3212.64,Checked-Out
RES-02564,2024-11-23,2025-01-10,CH_06,RT_CORP,11700.0,250.0,11450.0,Checked-Out
RES-00006,2024-11-24,2025-01-07,CH_01,RT_ADV,3492.0,0.0,3492.0,Checked-Out
RES-00366,2024-11-24,2025-01-02,CH_02,RT_ADV,4680.0,842.4,3837.6,Checked-Out
RES-01825,2024-11-24,2025-01-01,CH_01,RT_ADV,1746.0,0.0,1746.0,Checked-Out
RES-02921,2024-11-24,2025-01-02,CH_01,RT_ADV,3492.0,0.0,3492.0,Checked-Out
RES-03660,2024-11-24,2025-01-11,CH_02,RT_PROMO,2340.0,421.2,1918.8,Checked-Out
RES-00003,2024-11-25,2025-01-04,CH_01,RT_ADV,6984.0,0.0,6984.0,Checked-Out
RES-01484,2024-11-25,2025-01-25,CH_03,RT_ADV,12750.0,2550.0,10200.0,Checked-Out
RES-01467,2024-11-26,2025-01-08,CH_02,RT_ADV,7020.0,1263.6,5756.4,Checked-Out
RES-01828,2024-11-26,2025-01-04,CH_01,RT_PACK,6984.0,0.0,6984.0,Checked-Out
RES-02556,2024-11-26,2025-01-02,CH_06,RT_PACK,4680.0,250.0,4430.0,Checked-Out
RES-04751,2024-11-26,2025-01-07,CH_02,RT_ADV,4680.0,842.4,3837.6,Checked-Out
RES-00370,2024-11-27,2025-01-06,CH_03,RT_ADV,2340.0,468.0,1872.0,Checked-Out
RES-00746,2024-11-27,2025-01-17,CH_02,RT_ADV,4680.0,842.4,3837.6,Checked-Out
RES-01465,2024-11-27,2025-01-06,CH_05,RT_CORP,2340.0,187.2,2152.8,Checked-Out
RES-03286,2024-11-27,2025-01-02,CH_03,RT_PROMO,5100.0,0.0,0.0,Cancelled
RES-04385,2024-11-27,2025-01-06,CH_03,RT_RACK,2550.0,0.0,0.0,Cancelled
RES-04386,2024-11-27,2025-01-07,CH_03,RT_ADV,5100.0,1020.0,4080.0,Checked-Out
RES-01118,2024-11-28,2025-01-24,CH_05,RT_CORP,6984.0,558.72,6425.28,Checked-Out
RES-02565,2024-11-28,2025-01-11,CH_02,RT_PROMO,2340.0,0.0,0.0,Cancelled
RES-02920,2024-11-28,2025-01-01,CH_01,RT_PROMO,1746.0,0.0,0.0,Cancelled
RES-03287,2024-11-28,2025-01-03,CH_03,RT_PACK,7650.0,1530.0,6120.0,Checked-Out
RES-01103,2024-11-29,2025-01-09,CH_01,RT_PACK,6984.0,0.0,6984.0,Checked-Out
RES-02567,2024-11-29,2025-01-13,CH_02,RT_PROMO,7020.0,0.0,0.0,Cancelled
RES-02925,2024-11-29,2025-01-06,CH_01,RT_ADV,1746.0,0.0,1746.0,Checked-Out
RES-02931,2024-11-29,2025-01-12,CH_01,RT_ADV,3492.0,0.0,3492.0,Checked-Out
RES-03669,2024-11-29,2025-01-20,CH_02,RT_ADV,11700.0,0.0,0.0,Cancelled
RES-01462,2024-11-30,2025-01-03,CH_02,RT_ADV,7020.0,1263.6,5756.4,Checked-Out
RES-01831,2024-11-30,2025-01-07,CH_01,RT_RACK,3492.0,0.0,3492.0,Checked-Out
RES-04380,2024-11-30,2025-01-01,CH_03,RT_PROMO,2550.0,510.0,2040.0,Checked-Out
RES-04748,2024-11-30,2025-01-04,CH_02,RT_PROMO,9360.0,1684.8,7675.2,Checked-Out
RES-01104,2024-12-01,2025-01-10,CH_01,RT_ADV,8730.0,0.0,8730.0,Checked-Out
RES-01833,2024-12-01,2025-01-09,CH_01,RT_ADV,6984.0,0.0,6984.0,Checked-Out
RES-03650,2024-12-01,2025-01-01,CH_02,RT_PROMO,2340.0,0.0,0.0,Cancelled
RES-03662,2024-12-01,2025-01-13,CH_02,RT_PROMO,7020.0,1263.6,5756.4,Checked-Out
RES-00367,2024-12-02,2025-01-03,CH_02,RT_ADV,7020.0,1263.6,5756.4,Checked-Out
RES-00375,2024-12-02,2025-01-11,CH_03,RT_PROMO,2550.0,510.0,2040.0,Checked-Out
RES-03658,2024-12-02,2025-01-09,CH_02,RT_PROMO,9360.0,0.0,0.0,Cancelled
RES-04388,2024-12-02,2025-01-09,CH_03,RT_PROMO,10200.0,2040.0,8160.0,Checked-Out
RES-00365,2024-12-03,2025-01-01,CH_02,RT_RACK,2340.0,421.2,1918.8,Checked-Out
RES-01461,2024-12-03,2025-01-02,CH_02,RT_RACK,4680.0,842.4,3837.6,Checked-Out
RES-02204,2024-12-03,2025-01-15,CH_01,RT_ADV,8730.0,0.0,8730.0,Checked-Out
RES-04015,2024-12-03,2025-01-01,CH_01,RT_ADV,1746.0,0.0,1746.0,Checked-Out
RES-04754,2024-12-03,2025-01-10,CH_02,RT_RACK,11700.0,2106.0,9594.0,Checked-Out
RES-00004,2024-12-04,2025-01-05,CH_01,RT_PACK,8730.0,0.0,8730.0,Checked-Out
