spend_id,spend_date,channel_id,platform,cost_amount,clicks
SP_001_GO,2024-11-10,CH_01,Google Ads,1369.73,112
SP_001_FA,2024-11-10,CH_01,Facebook,779.78,107
SP_001_IN,2024-11-10,CH_01,Instagram,724.63,115
SP_002_GO,2024-11-11,CH_01,Google Ads,1669.28,144
SP_002_FA,2024-11-11,CH_01,Facebook,907.33,107
SP_002_IN,2024-11-11,CH_01,Instagram,502.61,81
SP_003_GO,2024-11-12,CH_01,Google Ads,1918.09,171
SP_003_FA,2024-11-12,CH_01,Facebook,501.22,74
SP_003_IN,2024-11-12,CH_01,Instagram,322.71,58
SP_004_GO,2024-11-13,CH_01,Google Ads,1498.04,131
SP_004_FA,2024-11-13,CH_01,Facebook,937.75,124
SP_004_IN,2024-11-13,CH_01,Instagram,549.23,91
SP_005_GO,2024-11-14,CH_01,Google Ads,1955.33,153
SP_005_FA,2024-11-14,CH_01,Facebook,818.77,110
SP_005_IN,2024-11-14,CH_01,Instagram,401.75,57
SP_006_GO,2024-11-15,CH_01,Google Ads,2005.51,170
SP_006_FA,2024-11-15,CH_01,Facebook,653.82,92
SP_006_IN,2024-11-15,CH_01,Instagram,454.5,72
SP_007_GO,2024-11-16,CH_01,Google Ads,1751.81,149
SP_007_FA,2024-11-16,CH_01,Facebook,897.05,121
SP_007_IN,2024-11-16,CH_01,Instagram,399.34,64
SP_008_GO,2024-11-17,CH_01,Google Ads,1438.71,127
SP_008_FA,2024-11-17,CH_01,Facebook,1124.01,135
SP_008_IN,2024-11-17,CH_01,Instagram,623.37,95
SP_009_GO,2024-11-18,CH_01,Google Ads,1322.37,113
SP_009_FA,2024-11-18,CH_01,Facebook,724.39,89
SP_009_IN,2024-11-18,CH_01,Instagram,341.7,51
SP_010_GO,2024-11-19,CH_01,Google Ads,1401.93,122
SP_010_FA,2024-11-19,CH_01,Facebook,895.7,115
SP_010_IN,2024-11-19,CH_01,Instagram,544.77,79
SP_011_GO,2024-11-20,CH_01,Google Ads,1477.46,126
SP_011_FA,2024-11-20,CH_01,Facebook,894.35,121
SP_011_IN,2024-11-20,CH_01,Instagram,444.84,70
SP_012_GO,2024-11-21,CH_01,Google Ads,1637.3,156
SP_012_FA,2024-11-21,CH_01,Facebook,649.0,86
SP_012_IN,2024-11-21,CH_01,Instagram,413.6,72
SP_013_GO,2024-11-22,CH_01,Google Ads,1699.12,162
SP_013_FA,2024-11-22,CH_01,Facebook,677.47,99
SP_013_IN,2024-11-22,CH_01,Instagram,453.0,75
SP_014_GO,2024-11-23,CH_01,Google Ads,1740.29,150
SP_014_FA,2024-11-23,CH_01,Facebook,828.74,121
SP_014_IN,2024-11-23,CH_01,Instagram,650.13,118
SP_015_GO,2024-11-24,CH_01,Google Ads,1429.3,109
SP_015_FA,2024-11-24,CH_01,Facebook,828.42,112
SP_015_IN,2024-11-24,CH_01,Instagram,598.14,88
SP_016_GO,2024-11-25,CH_01,Google Ads,1517.43,143
SP_016_FA,2024-11-25,CH_01,Facebook,894.5,118
SP_016_IN,2024-11-25,CH_01,Instagram,786.24,106
SP_017_GO,2024-11-26,CH_01,Google Ads,1483.0,143
SP_017_FA,2024-11-26,CH_01,Facebook,892.83,135
SP_017_IN,2024-11-26,CH_01,Instagram,547.52,86
SP_018_GO,2024-11-27,CH_01,Google Ads,1586.41,130
SP_018_FA,2024-11-27,CH_01,Facebook,802.03,107
SP_018_IN,2024-11-27,CH_01,Instagram,416.62,65
SP_019_GO,2024-11-28,CH_01,Google Ads,1403.29,124
SP_019_FA,2024-11-28,CH_01,Facebook,834.49,101
SP_019_IN,2024-11-28,CH_01,Instagram,404.6,75
SP_020_GO,2024-11-29,CH_01,Google Ads,1941.87,163
SP_020_FA,2024-11-29,CH_01,Facebook,701.76,101
SP_020_IN,2024-11-29,CH_01,Instagram,472.99,63
SP_021_GO,2024-11-30,CH_01,Google Ads,1366.38,138
SP_021_FA,2024-11-30,CH_01,Facebook,860.53,109
SP_021_IN,2024-11-30,CH_01,Instagram,500.59,83
SP_022_GO,2024-12-01,CH_01,Google Ads,1278.73,120
